YEAR,LOC,BRAND,NAME,YIELD,TW,MOIST,HEAD,HT
1983,FND,,,31.76,56.93,,149.67,37.33
1983,FND,,,33.52,57.57,,148.67,42.67
1983,FND,,,33.94,56.37,,148.33,39.33
1983,FND,,,38.18,59.43,,147,40.33
1983,FND,,,53.6,56.8,,145.67,37.67
1983,FND,,,33.4,58.33,,148,37.33
1983,FND,,,50.4,57.9,,147,37
1983,FND,,,35.45,56.13,,148,37
1983,FND,,,35.76,58.43,,146,36
1983,FND,,,36.72,58.6,,147.67,38
1983,FND,,,30.37,53.2,,149.33,36.67
1983,FND,,,43.56,57.27,,147,36
1983,FND,,,27.41,57.07,,150,35
1983,FND,,,35.57,57.03,,150.33,38.33
1983,FND,,,47.86,57.63,,146,35
1983,FND,,,37.69,56.1,,146,34.33
1983,FND,,,34.79,57.4,,149.67,39.33
1983,FND,,,42.11,57.6,,147,37.67
1983,FND,,,38.6,57.37,,147.6,37.26
1983,FND,,,40.9,57.27,,146,33.33
1983,FND,,,36.54,58.73,,146.67,36
1983,FNI,,,61.17,57.7,,144,38.5
1983,FNI,,,43.92,55.9,,145.5,40
1983,FNI,,,43.92,58.15,,144.5,40.5
1983,FNI,,,52.45,58.85,,147,40
1983,FNI,,,34.3,54.05,,145.5,39
1983,FNI,,,47.37,58.85,,145,36
1983,FNI,,,27.59,57.95,,146,41
1983,FNI,,,46.65,59.65,,144,42.5
1983,FNI,,,32.31,58.3,,147,37.5
1983,FNI,,,45.74,59.2,,145,39.5
1983,FNI,,,40.84,56.3,,145,40
1983,FNI,,,38.11,59.1,,145,40.5
1983,FNI,,,36.48,56.2,,144,38.5
1983,FNI,,,47.37,55.95,,143,37.5
1983,FNI,,,32.49,57.65,,146.5,39
1983,FNI,,,53.91,57.65,,146.5,41.5
1983,FNI,,,48.46,58.05,,144,35.5
1983,FNI,,,55.72,57.3,,144,40
1983,FNI,,,67.15,58.5,,146,39
1983,FNI,,,51.91,60.2,,145,36.5
1983,FNI,,,44.83,58.9,,145.5,40.5
1983,FNI,,,46.64,57.8,,145.3,39.7
1983,FNI,,,59.17,57.25,,147,42
1983,FNI,,,70.6,57.1,,147,39
1983,FNI,,,45.01,58.75,,143.5,41
